,,,,,,,,,"Normalized abundance",,"Raw abundance",
"Cre03.g204250.t1.2|PACid:30788072|","16","15","907.43",,"1.24164256186699","Condition 2","Condition 1","S-adenosyl-L-homocysteine hydrolase","100501.041946381","124786.371192607","100501.041946381","141541.115532751"
"Cre17.g698000.t1.2|PACid:30782086|","16","14","972.01",,"1.44421621000839","Condition 2","Condition 1","ATP synthase alpha/beta family protein","2448.71370047907","3536.47201990149","2448.71370047907","4011.30500040437"
"Cre06.g280950.t1.2|PACid:30778515|","16","16","803.97",,"1.34542343945765","Condition 1","Condition 2","Pyruvate kinase family protein","35289.9007169832","26229.5866728833","35289.9007169832","29751.3656512423"
"Cre17.g696250.t1.1|PACid:30782553|","16","16","910.94",,"1.1545986695651","Condition 1","Condition 2","eukaryotic translation initiation factor 4G","30778.6217160487","26657.4200433143","30778.6217160487","30236.6431052959"
"gi|41179058|ref|NP_958415.1|","16","15","917.05",,"1.10764000729667","Condition 1","Condition 2","hypothetical protein ChreCp059 (chloroplast) [Chlamydomonas reinhardtii]","41545.9886421722","37508.5662927347","41545.9886421722","42544.7447855778"
"Cre07.g339150.t1.1|PACid:30775388|","15","13","725.61",,"1.65079239682834","Condition 2","Condition 1","TCP-1/cpn60 chaperonin family protein","2356.06062749411","3889.36697033388","2356.06062749411","4411.58224600982"
"Cre09.g396438.t1.1|PACid:30780374|","15","15","1042.86",,"1.14174796446688","Condition 1","Condition 2","None","22497.7795434139","19704.6811061484","22497.7795434139","22350.3778363468"
"Cre12.g513200.t1.2|PACid:30792008|","15","14","938.81",,"1.16752950281929","Condition 2","Condition 1","Enolase","116502.390382676","136019.977920745","116502.390382676","154283.029674182"
"Cre07.g325736.t1.1|PACid:30774660|","15","15","632.7",,"1.06432675337926","Condition 2","Condition 1","Plastid-lipid associated protein PAP / fibrillin family protein","34613.4901986116","36840.063646213","34613.4901986116","41786.4840122179"
"Cre06.g259900.t1.2|PACid:30779752|","15","14","765.72",,"1.30931364907567","Condition 2","Condition 1","ATPase, F1 complex, gamma subunit protein","5138.3407541965","6727.69968307126","5138.3407541965","7631.01057439566"
"Cre02.g116750.t1.1|PACid:30784898|","15","13","589.25",,"1.54456223782244","Condition 2","Condition 1","ATPase, F1 complex, alpha subunit protein","698.787167092948","1079.32027056669","698.787167092948","1224.23782062966"
"Cre09.g416850.t1.2|PACid:30780459|","14","13","860.54",,"1.31057896209405","Condition 1","Condition 2","None","15694.8244468308","11975.4893835267","15694.8244468308","13583.4074682622"
"Cre12.g542250.t1.1|PACid:30793243|","14","13","884.58",,"1.07939493570336","Condition 2","Condition 1","tubulin beta chain 2","76021.709980158","82057.4487560919","76021.709980158","93075.090842909"
"Cre02.g088200.t1.2|PACid:30786096|","14","14","630.65",,"1.53452344721311","Condition 2","Condition 1","PDI-like 1-4","937.811872355553","1439.09430720442","937.811872355553","1632.31778960981"
"Cre03.g180750.t1.2|PACid:30787285|","14","13","728.57",,"1.38687598665075","Condition 2","Condition 1","methionine synthase 3","2474.88772590285","3432.36235671134","2474.88772590285","3893.21680114959"
"Cre12.g508150.t1.2|PACid:30793288|","14","14","572.73",,"1.07464585722078","Condition 2","Condition 1","chromatin-remodeling protein 11","8456.16629326381","9087.38407502594","8456.16629326381","10307.5237060018"
"Cre03.g185500.t1.1|PACid:30787307|","14","13","583.3",,"1.17318026685124","Condition 1","Condition 2","Phosphoglycerate mutase-like family protein","7228.39792077183","6161.3701875267","7228.39792077183","6988.64147757536"
"Cre03.g144847.t1.1|PACid:30787413|","14","14","697.06",,"1.20828988124715","Condition 1","Condition 2","Pyruvate kinase family protein","6833.47814080861","5655.49562804858","6833.47814080861","6414.84444522433"
"Cre09.g392867.t1.1|PACid:30781497|;Cre18.g750047.t1.1|PACid:30783825|","14","14","722.39",,"1.32451851030064","Condition 2","Condition 1","Flagella membrane protein, major form. Only one expressed in Chlamydomonas during vegetative growth (and likely even in gametes). A gene model for this was present in v2, lost in v3, and and recovered with Augustus (first noticed in Au5 update). Thi","2048.66621305395","2713.49632061747","2048.66621305395","3077.83047574485"
"Cre07.g321400.t1.1|PACid:30774910|","13","13","722.71",,"1.43476558857773","Condition 1","Condition 2","Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802], contains Myxococcus cysteine-rich repeat","71568.6723408509","49881.7875969524","71568.6723408509","56579.2866141035"
"Cre03.g156900.t1.2|PACid:30787808|","13","9","793.81",,"1.74940453915964","Condition 2","Condition 1","photosystem II light harvesting complex gene 2.2","2677.64191694724","4684.27892375161","2677.64191694724","5313.22497799857"
"Cre06.g250200.t1.2|PACid:30779081|","13","12","889.83",,"1.09650852074167","Condition 1","Condition 2","methionine adenosyltransferase 3","268515.928282144","244882.664569284","268515.928282144","277762.428593024"
"Cre03.g156100.t1.2|PACid:30786859|","13","13","841.28",,"1.11974952487559","Condition 1","Condition 2","SART-1 family","5154.81652715205","4603.54428614271","5154.81652715205","5221.65030874516"
"Cre08.g372100.t1.2|PACid:30774022|","13","11","660.72",,"1.72178404892017","Condition 2","Condition 1","heat shock protein 70B","3381.6498394928","5822.47075267215","3381.6498394928","6604.23888934164"
"Cre06.g250100.t1.2|PACid:30778980|","13","9","644.49",,"1.17341426681006","Condition 1","Condition 2","chloroplast heat shock protein 70-2","38193.3650855308","32548.9182855769","38193.3650855308","36919.1776272911"
"Cre03.g213537.t1.1|PACid:30787146|","13","12","330.71",,"1.68833741165726","Condition 2","Condition 1","basic transcription factor 3","38306.7837059258","64674.7760509772","38306.7837059258","73358.4914890814"
"Cre16.g673650.t1.1|PACid:30777655|","13","13","558.46",,"1.54998599588259","Condition 2","Condition 1","light harvesting complex of photosystem II 5","6930.42592836451","10742.0631344666","6930.42592836451","12184.3722567175"
"Cre09.g402775.t1.1|PACid:30780234|","13","13","581.26",,"1.18673847953128","Condition 1","Condition 2","Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein","15719.8796667657","13246.2879883819","15719.8796667657","15024.8329254624"
"Cre02.g076250.t1.1|PACid:30786008|","13","13","742.06",,"1.09322052411413","Condition 2","Condition 1","Translation elongation factor EFG/EF2 protein","6030.3070362299","6592.45541871638","6030.3070362299","7477.60741134791"
"Cre16.g659950.t1.1|PACid:30778100|","13","13","1032.93",,"1.21506071873278","Condition 1","Condition 2","Ribosomal protein S5 family protein","38200.859841913","31439.4657427111","38200.859841913","35660.7617518467"
"Cre13.g566450.t1.2|PACid:30784705|","13","11","513.82",,"1.1123701063788","Condition 1","Condition 2","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","6882.04320217275","6186.82861280453","6882.04320217275","7017.51813997922"
"Cre13.g574900.t1.2|PACid:30784210|","12","12","722.58",,"1.10363980599051","Condition 1","Condition 2","glucan synthase-like 7","3355.87136180741","3040.73062931573","3355.87136180741","3449.00169140789"
"Cre03.g194850.t1.2|PACid:30788115|","12","12","568.32",,"1.51224950888648","Condition 2","Condition 1","malate dehydrogenase","2083.40204959449","3150.62372631235","2083.40204959449","3573.64985121569"
"Cre06.g306300.t1.2|PACid:30778583|","12","12","580.53",,"1.22068052505838","Condition 2","Condition 1","P-loop containing nucleoside triphosphate hydrolases superfamily protein","3919.75851063968","4784.7728768697","3919.75851063968","5427.2119951118"
"gi|41179070|ref|NP_958375.1|","12","12","577.6",,"1.0225912349829","Condition 1","Condition 2","photosystem I P700 chlorophyll a apoprotein A1 (chloroplast) [Chlamydomonas reinhardtii]","516549.766252754","505138.073339141","516549.766252754","572961.660116957"
"Cre13.g604650.t1.2|PACid:30784625|","12","10","457.49",,"1.20991931692757","Condition 1","Condition 2","metallopeptidase M24 family protein","350678.964542039","289836.652441042","350678.964542039","328752.272517513"
"Cre16.g653700.t1.1|PACid:30777599|","12","12","458.55",,"1.35590525509735","Condition 1","Condition 2","OSBP(oxysterol binding protein)-related protein 1A","2459.46775270121","1813.89351760026","2459.46775270121","2057.4403236912"
"Cre13.g603550.t1.2|PACid:30784579|","12","11","429.29",,"1.30726561685603","Condition 2","Condition 1","None","3919.23801507473","5123.48510138228","3919.23801507473","5811.4022367536"
"Cre10.g441200.t1.2|PACid:30790096|","12","11","500.68",,"1.04222995025367","Condition 1","Condition 2","LA RNA-binding protein","14237.1401753894","13660.267747942","14237.1401753894","15494.3966800305"
"Cre10.g452800.t1.2|PACid:30790505|","12","12","478.07",,"1.12374537346364","Condition 1","Condition 2","Low-CO2 inducible protein (identical to BAD16683, PMID: 15235119); homologous to LCIC; TargetP prediction: Chloroplast (confidence: 5); regulated by CCM1. Mutations in this gene include mutants pmp1 (Spalding et al., 1983 [PMID: 16663206]) and ad1 (","68685.6766671116","61122.0996224498","68685.6766671116","69328.8063558825"
"Cre02.g120250.t2.1|PACid:30785281|;Cre02.g120200.t1.2|PACid:30785901|","12","2","614.79",,"1.57573281962372","Condition 1","Condition 2","STT7 homolog STN7","11993.7040685931","7611.50870200014","11993.7040685931","8633.48635169042"
"Cre02.g120250.t1.1|PACid:30785280|","12","2","540.83",,"1.58860919080604","Condition 1","Condition 2","STT7 homolog STN7","15807.5255680061","9950.54394717783","15807.5255680061","11286.5778288187"
"Cre06.g270050.t1.1|PACid:30779169|","12","9","450.94",,"1.42861048903652","Condition 1","Condition 2","None","3762.1779150169","2633.45253579524","3762.1779150169","2987.03941830063"
"Cre06.g285250.t1.2|PACid:30779463|","12","0","858.31",,,"---","---","photosystem II light harvesting complex gene 2.1",,,"0","0"
"Cre08.g380250.t1.2|PACid:30774093|","12","12","618.79",,"1.05157777467405","Condition 1","Condition 2","CP12 domain-containing protein 1","13724.5493122562","13051.3877744424","13724.5493122562","14803.7639622823"
"Cre10.g447950.t1.2|PACid:30790400|","12","12","529.91",,"1.16982755933694","Condition 1","Condition 2","None","12810.3475311023","10950.6289442892","12810.3475311023","12420.9416601078"
"Cre12.g558900.t1.2|PACid:30793117|","12","11","588.17",,"1.05885164265502","Condition 1","Condition 2","Chloroplast precursor; gi|25090906|sp|Q9LLC6|PETO_CHLRE[25090906]. PMID: 7493961, PMID: 7493968","23176.1085545648","21887.9658121433","23176.1085545648","24826.8065509468"
"Cre04.g231222.t1.1|PACid:30791114|;Cre06.g309100.t1.2|PACid:30779697|","11","10","914.92",,"1.0159185778163","Condition 2","Condition 1","chaperonin-60alpha","40525.7897547365","41170.9026925141","40525.7897547365","46698.813651647"
"Cre04.g232104.t1.1|PACid:30791553|","11","4","858.12",,"1.53141082792423","Condition 2","Condition 1","photosystem II light harvesting complex gene 2.1","19259.3660908812","29494.0017705323","19259.3660908812","33454.0853478511"
"Cre09.g412100.t1.2|PACid:30780717|","11","10","505.65",,"1.60853999097111","Condition 2","Condition 1","photosystem I subunit F","5725.50555288109","9209.70465033638","5725.50555288109","10446.2679495965"
"Cre17.g715350.t2.1|PACid:30781594|;Cre17.g715350.t1.2|PACid:30781593|","11","10","507.7",,"1.2254098829194","Condition 1","Condition 2","ARF-GAP domain 9","10213.9295965289","8335.11279686717","10213.9295965289","9454.2469028043"
"Cre06.g278222.t1.1|PACid:30778664|","11","11","420.19",,"2.0367875726195","Condition 2","Condition 1","receptor for activated C kinase 1C","618.307296751795","1259.36061808402","618.307296751795","1428.45172143437"
"Cre09.g417150.t1.2|PACid:30780452|","11","11","801.49",,"1.08580632777624","Condition 1","Condition 2","catalase 2","38126.1804622263","35113.2421012038","38126.1804622263","39827.8065903916"
"gi|41179003|ref|NP_958358.1|","11","11","510.63",,"1.6372372718292","Condition 2","Condition 1","cytochrome f (chloroplast) [Chlamydomonas reinhardtii]","4722.47634131068","7731.81428132545","4722.47634131068","8769.94505098407"
"Cre03.g158900.t1.2|PACid:30787386|","11","11","593.6",,"1.14888065679811","Condition 2","Condition 1","2-oxoacid dehydrogenases acyltransferase family protein","6534.56978447879","7507.4408258851","6534.56978447879","8515.4455501536"
"Cre06.g257500.t1.2|PACid:30778449|","11","11","639.84",,"1.02926001577707","Condition 2","Condition 1","general regulatory factor 7","22408.6922483175","23064.3709370468","22408.6922483175","26161.1645590043"
"Cre03.g190950.t1.2|PACid:30788226|","11","10","828.2",,"1.12368193010287","Condition 1","Condition 2","tubulin alpha-2 chain","57578.7839365808","51241.1763454359","57578.7839365808","58121.1969851171"
"Cre16.g662702.t1.1|PACid:30778140|","11","11","659.06",,"1.85795270055287","Condition 2","Condition 1","RNA-binding (RRM/RBD/RNP motifs) family protein","5453.70805311259","10132.7316053075","5453.70805311259","11493.2273540956"
"gi|41179063|ref|NP_958420.1|","11","10","619.01",,"1.13460773554597","Condition 2","Condition 1","photosystem II protein D2 (chloroplast) [Chlamydomonas reinhardtii]","516546.315457118","586077.445285412","516546.315457118","664768.552859378"
"Cre06.g283950.t1.2|PACid:30779716|","11","0","756.39",,,"---","---","photosystem II light harvesting complex gene 2.1",,,"0","0"
"Cre12.g554800.t1.2|PACid:30793573|","11","11","692.71",,"1.22068163968453","Condition 1","Condition 2","phosphoribulokinase","40162.148100332","32901.4108139705","40162.148100332","37318.9984186881"
"Cre02.g120150.t1.2|PACid:30786468|","11","1","404.53",,"1.50766608245139","Condition 2","Condition 1","ribulose bisphosphate carboxylase small chain 1A","9819.34728983667","14804.2968606977","9819.34728983667","16792.0316322598"
"Cre12.g548400.t1.2|PACid:30793460|","11","7","781.27",,"3.25844640041095","Condition 2","Condition 1","photosystem II light harvesting complex gene 2.2","21311.5416539335","69442.5161894676","21311.5416539335","78766.3838039449"
"Cre02.g120100.t1.2|PACid:30785539|","11","1","406.23",,"1.50766608245139","Condition 2","Condition 1","ribulose bisphosphate carboxylase small chain 1A","4576.07854184658","6899.19840817569","4576.07854184658","7825.53599116781"
"Cre10.g454600.t1.1|PACid:30790107|","11","11","549.91",,"1.17104366267381","Condition 1","Condition 2","None","2112.21942501675","1803.70680645159","2112.21942501675","2045.88586909962"
"Cre04.g214503.t1.1|PACid:30791056|","11","11","884.45",,"1.62284998868668","Condition 2","Condition 1","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein","66850.483188758","108488.305886575","66850.483188758","123054.751017185"
"gi|41179046|ref|NP_958402.1|","11","11","705.76",,"1.01969238880817","Condition 2","Condition 1","ribosomal protein S3 (chloroplast) [Chlamydomonas reinhardtii]","6666.58349420269","6797.86444839262","6666.58349420269","7710.59618186036"
"Cre12.g556250.t1.2|PACid:30793455|","11","11","393.12",,"1.20198259628982","Condition 1","Condition 2","Homolog of septin molecules used in cytokinesis","7302.15203198512","6075.08965148479","7302.15203198512","6890.77627640459"
"Cre06.g278210.t1.1|PACid:30779668|","11","11","750.92",,"1.21010793546414","Condition 1","Condition 2","phosphoglucomutase","28130.7975281076","23246.5193423578","28130.7975281076","26367.7695610876"
"Cre09.g386750.t1.2|PACid:30780775|","10","9","566.4",,"2.49671629942253","Condition 2","Condition 1","HEAT SHOCK PROTEIN 81.4","1428.95788606811","3567.70244533462","1428.95788606811","4046.72865454321"
"Cre12.g559250.t1.2|PACid:30792509|","10","10","538.95",,"1.07863352236863","Condition 1","Condition 2","general regulatory factor 7","13822.958927424","12815.2506303248","13822.958927424","14535.9212926246"
"Cre11.g476750.t1.2|PACid:30775686|","10","10","550.99",,"1.6923719111853","Condition 2","Condition 1","root FNR 1","2422.1644571748","4099.20309159403","2422.1644571748","4649.59252227937"
"Cre01.g032300.t1.2|PACid:30789208|","10","10","414.7",,"1.04361472058852","Condition 2","Condition 1","poly(A) binding protein 7","2690.09297544581","2807.42062892701","2690.09297544581","3184.36575877871"
"Cre06.g284250.t1.2|PACid:30779962|;Cre06.g284200.t1.2|PACid:30778931|","10","1","703.18",,"1.60004155186011","Condition 2","Condition 1","photosystem II light harvesting complex gene 2.1","802.84992058627","1284.59323284563","802.84992058627","1457.07225432617"
"Cre10.g455500.t1.2|PACid:30789724|","10","10","393.83",,"1.1512415507651","Condition 1","Condition 2","global transcription factor group E3","4637.96342699129","4028.66229411973","4637.96342699129","4569.58039379403"
"Cre15.g635600.t1.2|PACid:30783595|","10","10","861.7",,"1.00008039816508","Condition 1","Condition 2","nascent polypeptide-associated complex subunit alpha-like protein 2","51008.3559747689","51004.2553262294","51008.3559747689","57852.4651914832"
"gi|41179064|ref|NP_958421.1|","10","10","583.21",,"1.18224649150727","Condition 2","Condition 1","hypothetical protein ChreCp065 (chloroplast) [Chlamydomonas reinhardtii]","3298.31263950526","3899.41854594919","3298.31263950526","4422.98342076837"
"Cre10.g440050.t1.2|PACid:30790885|","10","10","354.51",,"1.16589755641471","Condition 1","Condition 2","chloroplast stem-loop binding protein of 41 kDa","91951.354744447","78867.4392861836","91951.354744447","89456.7670258477"
"Cre16.g652000.t1.1|PACid:30777113|","10","10","472.42",,"1.14142958947404","Condition 1","Condition 2","None","11496.9090546289","10072.3769215817","11496.9090546289","11424.7690025903"
"Cre06.g251650.t1.1|PACid:30779067|","10","9","486",,"1.35267987509246","Condition 2","Condition 1","tonoplast dicarboxylate transporter","2630.5167173367","3558.24702463564","2630.5167173367","4036.00367888462"
"Cre08.g358546.t1.1|PACid:30773911|","10","9","354.85",,"1.17579147334617","Condition 1","Condition 2","None","16106.0338596989","13698.0359398788","16106.0338596989","15537.235909726"
"Cre03.g158750.t1.1|PACid:30786604|;Cre16.g648750.t1.1|PACid:30778237|","10","10","416.09",,"1.20286808626671","Condition 1","Condition 2","P-loop containing nucleoside triphosphate hydrolases superfamily protein","3350.42250430927","2785.36153927554","3350.42250430927","3159.34485203172"
"Cre13.g583550.t1.2|PACid:30784036|","10","10","611.2",,"1.07342902913649","Condition 2","Condition 1","plastid transcriptionally active 4","53092.3172202599","56990.8345283502","53092.3172202599","64642.8469486822"
"Cre06.g307500.t1.1|PACid:30779446|","10","10","303.03",,"1.02603317989494","Condition 1","Condition 2","Low-CO2 inducible protein (identical to BAD16683 [GI:46409059; PMID: 15235119]; homologous to LCIB; differentially expressed in Volvox regA mutant, impaired in somatic differentiation; TargetP prediction: Chloroplast (confidence: 2). Regulated by CC","10981.084575962","10702.4653696739","10981.084575962","12139.4578021356"
"Cre13.g603500.t1.2|PACid:30784490|","10","10","458.86",,"1.12807802147925","Condition 2","Condition 1","None","14406.133019101","16251.2420333544","14406.133019101","18433.2544027853"
"Cre01.g040200.t1.2|PACid:30788933|","10","10","297.35",,"1.21644140807058","Condition 1","Condition 2","with no lysine (K) kinase 8","4065.019642044","3341.73073612448","4065.019642044","3790.41630652983"
"Cre05.g233050.t1.2|PACid:30783240|","9","9","286.56",,"1.12001436638134","Condition 1","Condition 2","Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]","178566.434033866","159432.271043806","178566.434033866","180838.831034116"
"Cre12.g485800.t1.2|PACid:30791981|","9","6","545.77",,"1.44721025738623","Condition 2","Condition 1","FtsH extracellular protease family","987.134748480996","1428.59153342408","987.134748480996","1620.40483547187"
"Cre04.g225350.t1.1|PACid:30791181|","9","9","409.62",,"1.38607268634874","Condition 1","Condition 2","GYF domain-containing protein","11763.9362571929","8487.24339859985","11763.9362571929","9626.8036882138"
"Cre01.g021650.t1.2|PACid:30788814|","9","7","473.16",,"1.32001975046369","Condition 1","Condition 2","None","10948.0464075761","8293.85045468474","10948.0464075761","9407.44437231818"
"Cre12.g493250.t1.2|PACid:30791877|","9","9","374.52",,"1.02926736443187","Condition 2","Condition 1","protein serine/threonine phosphatases;protein kinases;catalytics;cAMP-dependent protein kinase regulators;ATP binding;protein serine/threonine phosphatases","25335.9870548061","26077.5046211804","25335.9870548061","29578.8639345499"
"Cre13.g567950.t1.2|PACid:30784437|","9","7","496.76",,"1.62979218966787","Condition 2","Condition 1","ADPGLC-PPase large subunit","3080.14622150343","5019.99825484128","3080.14622150343","5694.02047813374"
"Cre12.g560950.t1.2|PACid:30792049|","9","9","377.59",,"1.25927537903741","Condition 2","Condition 1","photosystem I subunit G","3100.39214852991","3904.24749800462","3100.39214852991","4428.46074376644"
"Cre05.g242858.t1.1|PACid:30783304|","9","7","513.26",,"1.0059385890993","Condition 1","Condition 2","None","1549.69704149625","1540.54835781161","1549.69704149625","1747.39381402672"
"Cre07.g330250.t1.2|PACid:30775443|","9","9","528.48",,"1.42673914111854","Condition 2","Condition 1","photosystem I subunit H-1","8178.99643106351","11669.2943432672","8178.99643106351","13236.1004093684"
"Cre06.g284550.t1.2|PACid:30779278|","9","9","563.69",,"1.10641382691065","Condition 1","Condition 2","None","8855.47601604635","8003.76477648765","8855.47601604635","9078.40963799838"
"Cre06.g272050.t1.2|PACid:30779959|","9","9","485.6",,"1.04792445574294","Condition 2","Condition 1","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent","7747.12789493759","8118.40478287341","7747.12789493759","9208.44206248068"
"Cre08.g372450.t1.2|PACid:30773912|","9","9","390.06",,"1.16233215563976","Condition 2","Condition 1","photosystem II subunit Q-2","36177.7215255234","42050.5290468966","36177.7215255234","47696.5451688104"
